experiment_family,training_sequence,train_dataset_name,benchmark_dataset_name,experiment_id,prediction_mode,num_keypoints,train_hand,train_input_size,lambda_hm,lambda_coord,heatmap_sigma,wing_w,wing_epsilon,n,num_seeds,forward_ms_mean,forward_ms_std,e2e_ms_mean,e2e_ms_std,images_per_second_mean,images_per_second_std,setup_ms_mean,setup_ms_std
ablation,rhd,rhd,rhd,B0,coord,21,right,256,1.0,1.0,2.0,10.0,2.0,5,5,24.08072746576072,0.4422414314955518,33.174265831011084,0.8579004002986361,30.15986444310109,0.774272280946475,906.0850846000903,186.99279426641996
ablation,rhd,rhd,rhd,B0,fusion,21,right,256,1.0,1.0,2.0,10.0,2.0,5,5,27.43351329266873,0.44894445067208355,36.80513825425216,1.3309189164920472,27.198212147052878,0.9711034493353603,1306.2585163997937,136.96059423867408
ablation,rhd,rhd,rhd,B0,heatmap,21,right,256,1.0,1.0,2.0,10.0,2.0,5,5,24.28188957514196,0.35280996068071474,33.194258836806114,0.5590753480468035,30.132395283760605,0.4975522026402083,935.935378999784,215.0059194688189
ablation,rhd,rhd,rhd,B1,coord,10,right,256,1.0,1.0,2.0,10.0,2.0,5,5,23.911881298987613,0.2935080814049618,32.501505573898484,0.3381477339446511,30.77048352196548,0.3217707787260145,974.0398091998941,192.44287229773832
ablation,rhd,rhd,rhd,B1,fusion,10,right,256,1.0,1.0,2.0,10.0,2.0,5,5,24.588159827937453,0.6099198490166011,33.30690200629755,0.7077955260819654,30.03475549984257,0.6440721579843214,1187.7049381995676,147.53600699774316
ablation,rhd,rhd,rhd,B1,heatmap,10,right,256,1.0,1.0,2.0,10.0,2.0,5,5,23.996621643896958,0.33627395078560246,32.64287533410201,0.4555657354470606,30.63934284453354,0.4287598156126373,1010.2971013999195,193.73202285225125
ablation,rhd,rhd,rhd,E1,coord,21,right,256,1.0,1.0,2.0,10.0,1.0,5,5,23.50094293278397,0.1699159775320001,32.1089152842302,0.24098777379496697,31.145394865047052,0.23261552834368612,997.1281057994929,159.1624352733183
ablation,rhd,rhd,rhd,E1,fusion,21,right,256,1.0,1.0,2.0,10.0,1.0,5,5,27.13125781921645,0.26124649569296315,35.84481951729526,0.22915006692848686,27.89894421055353,0.17794099525082907,1099.8600735991204,105.55267531879758
ablation,rhd,rhd,rhd,E1,heatmap,21,right,256,1.0,1.0,2.0,10.0,1.0,5,5,23.598608299913593,0.06922231741194108,32.18612593781715,0.08674822754736626,31.06946786630987,0.08365556157178865,1225.9812679993047,146.29260277577944
ablation,rhd,rhd,rhd,E2,coord,21,right,256,1.0,1.0,2.0,10.0,4.0,5,5,23.458910028390147,0.1213491903708229,32.096861040036934,0.2603679529581152,31.15732529168377,0.25128534263378766,1121.6401318008138,118.41855425928527
ablation,rhd,rhd,rhd,E2,fusion,21,right,256,1.0,1.0,2.0,10.0,4.0,5,5,27.44345856023737,0.48027757483299044,36.131030670611494,0.5176466732870254,27.681616327445234,0.3992685776673825,1230.9543589995883,206.90280633353754
ablation,rhd,rhd,rhd,E2,heatmap,21,right,256,1.0,1.0,2.0,10.0,4.0,5,5,23.66237489554232,0.19066081893295672,32.606567625381075,0.7829326206510254,30.682526023616894,0.7215057832920218,991.5593716003059,216.19651879503283
ablation,rhd,rhd,rhd,L1,coord,21,right,256,1.5,0.5,2.0,10.0,2.0,5,5,23.463724878516704,0.10566385428855778,32.019494497723194,0.1316478604980669,31.231398463301996,0.12904950034693582,1033.09142699909,285.0086143526139
ablation,rhd,rhd,rhd,L1,fusion,21,right,256,1.5,0.5,2.0,10.0,2.0,5,5,27.162164313344647,0.4445261620546426,35.771317826181644,0.45348436081763527,27.95894651122171,0.3538375937622526,1216.8821719995321,185.68742563710532
ablation,rhd,rhd,rhd,L1,heatmap,21,right,256,1.5,0.5,2.0,10.0,2.0,5,5,23.649956584251115,0.0783244651281255,32.24592985549243,0.11368597778799833,31.01197430528964,0.10938215461912924,1100.4541738002445,278.15846656947866
ablation,rhd,rhd,rhd,L2,coord,21,right,256,0.5,1.5,2.0,10.0,2.0,5,5,23.466007900220532,0.08221663562351172,32.082969067809394,0.12179237470979785,31.169544171625688,0.11825011398887644,1177.5550295995345,188.5935613747825
ablation,rhd,rhd,rhd,L2,fusion,21,right,256,0.5,1.5,2.0,10.0,2.0,5,5,27.15531560997548,0.47962574427420285,35.75270961957539,0.4876968652148145,27.9740074380863,0.37566351807729337,1191.5138061995094,234.67161540228824
ablation,rhd,rhd,rhd,L2,heatmap,21,right,256,0.5,1.5,2.0,10.0,2.0,5,5,23.723891802934528,0.03868531910262779,32.31002434083787,0.054770428670640636,30.95021806560434,0.05247027967126188,1023.6113888000546,141.12167364897184
ablation,rhd,rhd,rhd,S1,coord,21,right,256,1.0,1.0,1.5,10.0,2.0,5,5,23.59010802895514,0.10736804425900036,32.14871015307979,0.09922116027578284,31.105684292499568,0.09610419116148873,1068.480876200556,262.6619285990872
ablation,rhd,rhd,rhd,S1,fusion,21,right,256,1.0,1.0,1.5,10.0,2.0,5,5,27.1577663491895,0.2601021185066245,35.71937404515631,0.2528845915699982,27.997138546527328,0.1990265072552968,1304.9580113998672,140.63821497851143
ablation,rhd,rhd,rhd,S1,heatmap,21,right,256,1.0,1.0,1.5,10.0,2.0,5,5,23.598226250956124,0.06550235723701328,32.18087935006038,0.07748272025777045,31.07449714253705,0.07491044969996614,1021.7590138003288,243.96266512480747
ablation,rhd,rhd,rhd,S2,coord,21,right,256,1.0,1.0,3.0,10.0,2.0,5,5,23.458123337172697,0.06866257059852438,32.04404315183904,0.11135002357644593,31.207349713541316,0.10845194617335788,883.8650044002861,163.30103741845122
ablation,rhd,rhd,rhd,S2,fusion,21,right,256,1.0,1.0,3.0,10.0,2.0,5,5,27.5029707693677,0.23679911128405484,36.475519838775845,0.5338525329414004,27.42032160413038,0.3991942086164423,1249.3083199999091,201.8037213076401
ablation,rhd,rhd,rhd,S2,heatmap,21,right,256,1.0,1.0,3.0,10.0,2.0,5,5,23.72505909918899,0.19078729100295733,32.62493786818358,0.7799486703821968,30.66499172556479,0.7107107456815267,1196.315654800128,211.12495314545765
ablation,rhd,rhd,rhd,W1,coord,21,right,256,1.0,1.0,2.0,5.0,2.0,5,5,23.544419370834483,0.10624862742416198,32.13762994097641,0.14234038340193592,31.11666024681167,0.13797974233055602,1084.8361484004272,201.46311378376174
ablation,rhd,rhd,rhd,W1,fusion,21,right,256,1.0,1.0,2.0,5.0,2.0,5,5,27.499870704677214,0.3581222165065431,36.2108179377551,0.39492756115132155,27.618684904309465,0.30123306144389134,1193.4702324000682,157.7408192682028
ablation,rhd,rhd,rhd,W1,heatmap,21,right,256,1.0,1.0,2.0,5.0,2.0,5,5,23.557675732113815,0.06905105672453236,32.12009650505787,0.07676671876359507,31.13329871625849,0.07423939414962069,998.4493468004075,130.94642346712067
ablation,rhd,rhd,rhd,W2,coord,21,right,256,1.0,1.0,2.0,15.0,2.0,5,5,23.48482290374163,0.07121259253088685,32.06248100161001,0.09474609821300371,31.189320150836494,0.09215158848398124,990.2923840003496,293.4691529967535
ablation,rhd,rhd,rhd,W2,fusion,21,right,256,1.0,1.0,2.0,15.0,2.0,5,5,27.132601045533164,0.3830029792531296,35.914640055940154,0.42739630365880227,27.846956689982427,0.33174674372742147,1117.3191349997069,167.81935286337028
ablation,rhd,rhd,rhd,W2,heatmap,21,right,256,1.0,1.0,2.0,15.0,2.0,5,5,23.671590266625135,0.12270745673772296,32.50117723884342,0.4106551772528106,30.772034317106566,0.38762048685205575,967.1654998004669,211.27018777109086
